id,baseMean,log2FoldChange,lfcMLE,lfcSE,stat,pvalue,padj,mgi_symbol
ENSMUSG00000034634,196.663145971747,7.95082512020398,11.4956026348177,0.529320870994645,15.0208041206907,5.36528726735349e-51,9.02494971241531e-47,Ly6d
ENSMUSG00000038092,1637.47591142812,-6.14392453588889,-7.78149031817008,0.47354166465383,-12.9744117455435,1.70903389958438e-38,1.43738296124545e-34,Hsd3b5
ENSMUSG00000074183,220.770819622613,5.60465247882014,6.56315975442595,0.45834537250448,12.22801148443,2.20264839634719e-34,1.23502495583187e-30,Gsta1
ENSMUSG00000074254,218.043054209107,6.93860015935921,9.97072671776167,0.572630666689418,12.1170600231275,8.57813879596452e-34,3.60732181717298e-30,Cyp2a4
ENSMUSG00000032231,257.564760139228,6.18027605152336,7.56997050598155,0.512670253221265,12.0550705110952,1.82376353640118e-33,6.13550528916085e-30,Anxa2
ENSMUSG00000020142,174.616215335342,4.4812929827719,4.90081013691555,0.373212895686891,12.0073369236724,3.25147659097365e-33,9.11551462279463e-30,Slc1a4
ENSMUSG00000015568,1392.46164654978,4.82771544233425,5.4159283788975,0.414238766578644,11.6544269436881,2.17840985905774e-31,5.23471889131574e-28,Lpl
ENSMUSG00000026547,370.749275993076,4.52280973336865,5.02971703330858,0.400771538920434,11.285256796308,1.55187710218846e-29,3.263015591989e-26,Tagln2
ENSMUSG00000021556,234.556613305635,3.57086286784438,3.82432141007979,0.330171844784889,10.815164661211,2.91768252732521e-27,5.45314864357083e-24,Golm1
ENSMUSG00000032080,4317.94994184038,2.96228047375404,3.11535369172716,0.279921640919824,10.5825346837064,3.59109666933201e-26,6.04058370748337e-23,Apoa4
ENSMUSG00000033685,348.258995964326,5.10608490347512,6.07165841860296,0.483308493555956,10.5648565492962,4.33631146032582e-26,6.63100864310369e-23,Ucp2
ENSMUSG00000021208,312.545947744521,3.00620668666385,3.17836834058087,0.29851074055018,10.0706818157469,7.44600931575718e-24,1.04374435583626e-20,Ifi27l2b
ENSMUSG00000025197,4979.65040188796,-2.02292062366222,-2.07899649043811,0.204400474622977,-9.89684895494279,4.29597504902198e-23,5.55866125381528e-20,Cyp2c44
ENSMUSG00000000078,314.233104658855,3.76660498365381,4.18340161568,0.399925657852704,9.41826289385286,4.58612218647625e-21,5.51022580705122e-18,Klf6
ENSMUSG00000005397,387.121174431688,4.49303755360104,5.26618248013548,0.478297492724477,9.39381372879002,5.78661925844764e-21,6.48911483642318e-18,Nid1
ENSMUSG00000041605,38.4520865576784,5.17861288557968,6.81205730309339,0.556509489342869,9.30552485581985,1.33332166490525e-20,1.4017377328357e-17,5730559C18Rik
ENSMUSG00000029816,535.784259722654,6.1144339177519,10.9472905709311,0.657952602856114,9.29312216595797,1.49827503018136e-20,1.4824990754518e-17,Gpnmb
