id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,mgi_symbol
ENSMUSG00000038092,1637.47591142812,-5.4196582011665,0.397294126621964,-13.6414254276743,2.2707816601736e-42,1.30532099098979e-38,Hsd3b5
ENSMUSG00000090306,202.039973485047,-4.84319582860364,0.362513974637557,-13.3600251781904,1.03529123375015e-40,2.97559955433688e-37,Adh6-ps1
ENSMUSG00000029816,535.784259722654,5.94311078825123,0.537982894795471,11.047025557403,2.26598695143017e-28,2.79121035552952e-25,Gpnmb
ENSMUSG00000049723,347.96316540002,4.81990580108653,0.455450171291768,10.5827291433794,3.58364944301048e-26,3.25263340235346e-23,Mmp12
ENSMUSG00000039899,52.1654683016118,4.93565323079758,0.483843457131497,10.2009299868577,1.96382946917161e-24,1.47244518242889e-21,Fgl2
ENSMUSG00000051439,114.389631220859,4.98428677418397,0.496569528632412,10.0374398483754,1.04347221728647e-23,7.19787135484207e-21,Cd14
ENSMUSG00000029272,34.1456167459122,4.82452556914592,0.488415986884321,9.87790264590292,5.19079416398653e-23,2.55757843879851e-20,Sult1e1
ENSMUSG00000067586,12.0751740413005,4.13240222467671,0.430372415424777,9.60192167659729,7.84675938761603e-22,3.6572260983632e-19,S1pr3
ENSMUSG00000068877,14250.0851256767,-3.93580303295572,0.413911229079557,-9.50880951383715,1.92856891212514e-21,8.52773612553798e-19,Selenbp2
ENSMUSG00000023913,95.3231231961762,4.81869844672706,0.518465068877915,9.29416220297328,1.48370046158891e-20,6.24058889270748e-18,Pla2g7
ENSMUSG00000032816,15.2169426846099,4.37387885584611,0.470786898724737,9.29057046339656,1.53463580210505e-20,6.30114152554801e-18,Igdcc4
ENSMUSG00000005087,47.1940779864281,4.37654513031306,0.477187965584191,9.1715329093749,4.66339678826524e-20,1.82773358212805e-17,Cd44
ENSMUSG00000031659,34.2511134247795,4.40000722311286,0.481323283315437,9.1414801145809,6.16033309758274e-20,2.36077653928476e-17,Adcy7
ENSMUSG00000032294,189.316731292857,4.41292360123437,0.483382507541538,9.12925795283387,6.89704051191611e-20,2.58564051365203e-17,Pkm
ENSMUSG00000018008,52.2624084254918,4.67803877556076,0.515132878861802,9.08122732506802,1.07357339108228e-19,3.70275462584279e-17,Cyth4
ENSMUSG00000026177,89.955338671035,4.50419049394966,0.496274930411572,9.07599843944209,1.12639975686181e-19,3.8087772170749e-17,Slc11a1
ENSMUSG00000021457,45.2956450582046,4.33295935544548,0.478030987609495,9.0641809166252,1.25543922078958e-19,4.16347103125313e-17,Syk
ENSMUSG00000073421,135.141846113666,4.53730649091136,0.505064108427392,8.98362488088707,2.61989818990944e-19,8.36669338610893e-17,H2-Ab1
ENSMUSG00000003541,52.0470135005661,4.30616564519839,0.480182086543204,8.96777652868761,3.02560140291568e-19,9.48663567150561e-17,Ier3
ENSMUSG00000022488,69.2988736780128,4.62824165169553,0.521239414149515,8.87930100076419,6.72818161025118e-19,1.93379153114636e-16,Nckap1l
ENSMUSG00000026483,34.7768307740381,4.31118642093207,0.493512646814852,8.73571619442101,2.42117161808008e-18,6.23180664981954e-16,Fam129a
ENSMUSG00000030830,93.3976696442319,3.97268118333073,0.460622697980602,8.62458841205004,6.43235709617301e-18,1.54063886282644e-15,Itgal
ENSMUSG00000030789,32.4828301681,4.63776744724718,0.537856523636994,8.62268512778563,6.54021091484414e-18,1.545012838719e-15,Itgax
ENSMUSG00000026832,29.2093200630961,4.55350399592841,0.528182103884061,8.62108723950241,6.63213567112253e-18,1.54555648173659e-15,Cytip
ENSMUSG00000034652,122.389099537723,4.12468340177407,0.478641239266466,8.61748437743326,6.84410987477237e-18,1.57368899720599e-15,Cd300a
ENSMUSG00000000290,75.9821188971311,4.53502638105155,0.526397647419298,8.61521019952282,6.98133933756043e-18,1.58412101152934e-15,Itgb2
ENSMUSG00000052336,23.3350434149781,3.93315647134911,0.456711963467718,8.61189718238488,7.18612819768557e-18,1.60941273726088e-15,Cx3cr1
ENSMUSG00000024621,442.5914771825,4.50448311042292,0.523361134654776,8.60683534208976,7.51052088401798e-18,1.65071448971572e-15,Csf1r
ENSMUSG00000026395,55.2399356291835,4.51608302026604,0.5247566398682,8.60605217191786,7.56198577486472e-18,1.65071448971572e-15,Ptprc
ENSMUSG00000056032,53.6229564316144,4.33332517004137,0.50378028964756,8.60161713169232,7.86006267221228e-18,1.68746338888042e-15,BC018473
ENSMUSG00000026728,180.599546924717,4.26089399794538,0.499676737747465,8.52730110501728,1.49801582662248e-17,3.07539082501245e-15,Vim
ENSMUSG00000028480,14.101272019519,4.15299647994736,0.488305551963762,8.50491349780017,1.81731042824258e-17,3.64413003895853e-15,Glipr2
ENSMUSG00000044827,16.32338112825,4.39043628030734,0.517786774748546,8.47923603772901,2.26677396417216e-17,4.44210420592602e-15,Tlr1
ENSMUSG00000028581,285.115980322806,4.5047871540885,0.537285953026188,8.38433822569885,5.10119224328617e-17,9.56196306907282e-15,Laptm5
ENSMUSG00000058099,34.0543068153654,4.36862672690312,0.522058922382117,8.3680721458976,5.85685323055953e-17,1.08019733886506e-14,Nfam1
ENSMUSG00000023915,27.6541863073276,4.25283773176845,0.512313422422956,8.30124206321767,1.03028531817389e-16,1.79467376887967e-14,Tnfrsf21
ENSMUSG00000024053,42.9935847076242,4.23215006777065,0.512241263312015,8.26202489117473,1.4322182772977e-16,2.4214317835293e-14,Emilin2
ENSMUSG00000053063,58.8787616590309,4.05413011150292,0.490932437528059,8.25802045576018,1.48108176135605e-16,2.47973349267816e-14,Clec12a
ENSMUSG00000004730,135.544376286882,4.41197386035413,0.535601034156515,8.23742595512772,1.7595514883339e-16,2.88985384917315e-14,Adgre1
ENSMUSG00000038608,21.355721668362,4.2065540826568,0.515291914667229,8.1634389419313,3.25618581724806e-16,5.12227762852732e-14,Dock10
ENSMUSG00000058818,67.2954805556433,4.04306599379743,0.497610512233612,8.12496097731019,4.47506364087309e-16,6.95247499881589e-14,Pirb
ENSMUSG00000048779,19.428431917369,4.36939964305809,0.538741331316214,8.11038505693092,5.04596007970009e-16,7.76942692628822e-14,P2ry6
ENSMUSG00000022180,42.648907292918,4.22790931511867,0.523534296546058,8.07570648763929,6.70870765503367e-16,1.02382003107129e-13,Slc7a8
ENSMUSG00000062210,23.0538745981328,3.57043913048385,0.442546078015204,8.06794887099007,7.14889706448875e-16,1.08142745506236e-13,Tnfaip8
ENSMUSG00000033220,51.1892682838325,4.02449370958991,0.499340455033772,8.0596187811735,7.65327440604441e-16,1.1377648028641e-13,Rac2
ENSMUSG00000040552,36.2636686405445,4.22352674360107,0.526285746884197,8.02515889629518,1.01394615005733e-15,1.46936986199485e-13,C3ar1
ENSMUSG00000033777,21.6662687741503,4.2464412988181,0.530781389876097,8.00035830157753,1.24057682546397e-15,1.76807829381208e-13,Tlr13
