id,baseMean,log2FoldChange,lfcMLE,lfcSE,stat,pvalue,padj,mgi_symbol
ENSMUSG00000028081,2140.73262595242,-5.77869607351557,-6.05443559677979,0.2708180921867,-21.3379247555285,5.04862646811815e-101,8.06820995869961e-97,Rps3a1
ENSMUSG00000057262,232.029882591624,6.00288571088549,6.6493519006486,0.391324869253211,15.3399034473356,4.13810002895828e-53,3.30654882813911e-49,Gm10020
ENSMUSG00000027014,988.872540232774,3.5908776494343,3.71662011994385,0.239127096624474,15.0166070684722,5.71595416502347e-51,3.044888783708e-47,Cwc22
ENSMUSG00000061906,229.614892389445,-6.35452109762012,-7.30900077195099,0.427780734806174,-14.8546219607092,6.49331904038459e-50,2.59424328960965e-46,Ugt2b38
ENSMUSG00000062006,625.385063223873,-4.67863485348892,-5.04767545229327,0.334274669089064,-13.996378685345,1.64017810464465e-44,5.24233725806523e-41,Rpl34
ENSMUSG00000048388,176.396397236665,6.90210799655458,8.81315215850946,0.494919308634827,13.9459258835409,3.33097062987182e-44,8.8720402726636e-41,Fam171b
ENSMUSG00000096403,84.2608318325487,7.01828814341894,10.0288741699674,0.515296676133535,13.6198979509819,3.04993612968262e-42,6.96300418406542e-39,Gm9825
ENSMUSG00000034674,136.975019451283,-3.47434501473068,-3.63544264598689,0.269076384098157,-12.9121142547511,3.84594120543607e-38,7.68274830050923e-35,Tdg
ENSMUSG00000095454,87.3885760732841,6.85646546254029,10.1675751642285,0.545235058853525,12.5752468613399,2.88896464787656e-36,5.12983822641281e-33,NA
ENSMUSG00000079247,43.0755538877751,5.89436324219363,8.83378272387887,0.546183606564345,10.7919080165567,3.75902998227697e-27,4.00487054311788e-24,Gm13691
ENSMUSG00000094125,43.0755538877751,5.89436324219363,8.83378272387887,0.546183606564345,10.7919080165567,3.75902998227697e-27,4.00487054311788e-24,Gm13698
ENSMUSG00000094336,43.0755538877751,5.89436324219363,8.83378272387887,0.546183606564345,10.7919080165567,3.75902998227697e-27,4.00487054311788e-24,Gm13693
ENSMUSG00000095824,43.0755538877751,5.89436324219363,8.83378272387887,0.546183606564345,10.7919080165567,3.75902998227697e-27,4.00487054311788e-24,Gm13697
ENSMUSG00000096337,43.0755538877751,5.89436324219363,8.83378272387887,0.546183606564345,10.7919080165567,3.75902998227697e-27,4.00487054311788e-24,Gm13694
ENSMUSG00000096484,43.0755538877751,5.89436324219363,8.83378272387887,0.546183606564345,10.7919080165567,3.75902998227697e-27,4.00487054311788e-24,Gm13696
ENSMUSG00000048058,109.882906331378,-2.07894148931439,-2.12972081383811,0.19695112082713,-10.5556215196112,4.78462522933188e-26,4.77894348687205e-23,Ldlrad3
