ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment,ont,comparison,geneID,symbol
GO:0000775,"chromosome, centromeric region",175,-0.5484956498771787,-2.108026518939841,0.002770083102493075,0.18845700824499412,0.17357882338354721,1991.0,"tags=32%, list=12%, signal=28%",12608/68298/70998/236930/50878/70454/66934/76499/72155/193796/320394/67629/13426/66570/215653/12615/140557/68014/76464/52276/66336/54141/219114/16319/56150/71988/71876/228421/51944/217653/20878/12235/18005/22778/73804/69928/381280/56739/66468/11799/70645/70385/68549/72415/22137/67052/20877/229841/17345/18817/66977/108000/208628/268697/12236,cc,pairwise-ko-effect-gsea,12608/68298/70998/236930/50878/70454/66934/76499/72155/193796/320394/67629/13426/66570/215653/12615/140557/68014/76464/52276/66336/54141/219114/16319/56150/71988/71876/228421/51944/217653/20878/12235/18005/22778/73804/69928/381280/56739/66468/11799/70645/70385/68549/72415/22137/67052/20877/229841/17345/18817/66977/108000/208628/268697/12236,Cebpb/Ncapd2/Phf6/Ercc6l/Stag3/Cenpl/Dsn1/Clasp2/Cenpn/Kdm4b/Cenpt/Spc24/Dync1i1/Cenpm/Rassf2/Cenpa/Smc1b/Zwilch/Casc5/Cdca8/Cenpp/Spag5/Ska3/Incenp/Mad2l1/Esco2/Cenpu/Kif18a/Knstrn/Mis18bp1/Aurka/Bub1/Nek2/Ikzf1/Kif2c/Apitd1/Hjurp/Rec8/Ska1/Birc5/Oip5/Spdl1/Sgol2a/Sgol1/Ttk/Ndc80/Aurkb/Cenpe/Mki67/Plk1/Nuf2/Cenpf/Kntc1/Ccnb1/Bub1b
GO:0000776,kinetochore,122,-0.6213107876767506,-2.3088546491733273,0.0028169014084507044,0.18845700824499412,0.17357882338354721,1991.0,"tags=33%, list=12%, signal=29%",76499/72155/320394/67629/13426/66570/215653/12615/68014/76464/54141/219114/16319/56150/71876/228421/51944/217653/12235/18005/73804/69928/381280/56739/66468/11799/70385/68549/72415/22137/67052/20877/229841/18817/66977/108000/208628/268697/12236,cc,pairwise-ko-effect-gsea,76499/72155/320394/67629/13426/66570/215653/12615/68014/76464/54141/219114/16319/56150/71876/228421/51944/217653/12235/18005/73804/69928/381280/56739/66468/11799/70385/68549/72415/22137/67052/20877/229841/18817/66977/108000/208628/268697/12236,Clasp2/Cenpn/Cenpt/Spc24/Dync1i1/Cenpm/Rassf2/Cenpa/Zwilch/Casc5/Spag5/Ska3/Incenp/Mad2l1/Cenpu/Kif18a/Knstrn/Mis18bp1/Bub1/Nek2/Kif2c/Apitd1/Hjurp/Rec8/Ska1/Birc5/Spdl1/Sgol2a/Sgol1/Ttk/Ndc80/Aurkb/Cenpe/Plk1/Nuf2/Cenpf/Kntc1/Ccnb1/Bub1b
GO:0000777,condensed chromosome kinetochore,26,-0.8174287372173563,-2.291434881289977,0.003355704697986577,0.18845700824499412,0.17357882338354721,1301.0,"tags=58%, list=8%, signal=53%",219114/217653/12235/381280/56739/66468/11799/70385/67052/229841/18817/108000/268697/12236,cc,pairwise-ko-effect-gsea,219114/217653/12235/381280/56739/66468/11799/70385/67052/229841/18817/108000/268697/12236,Ska3/Mis18bp1/Bub1/Hjurp/Rec8/Ska1/Birc5/Spdl1/Ndc80/Cenpe/Plk1/Cenpf/Ccnb1/Bub1b
GO:0000779,"condensed chromosome, centromeric region",39,-0.7532219008908438,-2.2787663335903385,0.003355704697986577,0.18845700824499412,0.17357882338354721,907.0,"tags=46%, list=6%, signal=44%",217653/20878/12235/381280/56739/66468/11799/70385/68549/72415/67052/20877/229841/18817/108000/268697/12236,cc,pairwise-ko-effect-gsea,217653/20878/12235/381280/56739/66468/11799/70385/68549/72415/67052/20877/229841/18817/108000/268697/12236,Mis18bp1/Aurka/Bub1/Hjurp/Rec8/Ska1/Birc5/Spdl1/Sgol2a/Sgol1/Ndc80/Aurkb/Cenpe/Plk1/Cenpf/Ccnb1/Bub1b
GO:0000793,condensed chromosome,127,-0.5426312362312322,-2.0070206875194576,0.0029154518950437317,0.18845700824499412,0.17357882338354721,1356.0,"tags=24%, list=8%, signal=23%",12615/140557/14211/219114/16319/217653/20878/12235/18005/241764/215387/381280/56739/66468/19361/11799/70385/67849/68549/21973/72415/211651/67052/20877/229841/17345/18817/108000/268697/12236,cc,pairwise-ko-effect-gsea,12615/140557/14211/219114/16319/217653/20878/12235/18005/241764/215387/381280/56739/66468/19361/11799/70385/67849/68549/21973/72415/211651/67052/20877/229841/17345/18817/108000/268697/12236,Cenpa/Smc1b/Smc2/Ska3/Incenp/Mis18bp1/Aurka/Bub1/Nek2/L3mbtl1/Ncaph/Hjurp/Rec8/Ska1/Rad51/Birc5/Spdl1/Cdca5/Sgol2a/Top2a/Sgol1/Fancd2/Ndc80/Aurkb/Cenpe/Mki67/Plk1/Cenpf/Ccnb1/Bub1b
GO:0000922,spindle pole,90,-0.5621926893340705,-1.9806783514790163,0.0029850746268656717,0.18845700824499412,0.17357882338354721,2199.0,"tags=29%, list=13%, signal=25%",75786/214444/66934/13426/22242/224023/217335/240641/56150/16551/20878/18005/75305/12316/100502766/69885/70385/72415/72119/20877/68617/18817/108000/208628/268697,cc,pairwise-ko-effect-gsea,75786/214444/214444/66934/13426/22242/224023/217335/240641/56150/16551/20878/18005/75305/12316/100502766/69885/70385/72415/72119/20877/68617/18817/108000/208628/268697,Ckap5/Ywhaq/Cdk5rap2/Dsn1/Dync1i1/Umod/Klhl22/Fbf1/Kif20b/Mad2l1/Kif11/Aurka/Nek2/Ankrd53/Aspm/Kifc1/Aunip/Spdl1/Sgol1/Tpx2/Aurkb/Mtcl1/Plk1/Cenpf/Kntc1/Ccnb1
GO:0000940,condensed chromosome outer kinetochore,13,-0.9201212427193052,-2.185895222905863,0.0035335689045936395,0.18845700824499412,0.17357882338354721,907.0,"tags=77%, list=6%, signal=73%",12235/66468/70385/67052/229841/18817/108000/268697/12236,cc,pairwise-ko-effect-gsea,12235/66468/70385/67052/229841/18817/108000/268697/12236,Bub1/Ska1/Spdl1/Ndc80/Cenpe/Plk1/Cenpf/Ccnb1/Bub1b
GO:0005819,spindle,210,-0.5057730227174705,-1.9761789061714774,0.002702702702702703,0.18845700824499412,0.17357882338354721,1147.0,"tags=20%, list=7%, signal=19%",233406/52276/240641/54141/219114/16319/56150/228421/51944/16551/26934/241035/20878/14841/18005/381293/75305/12316/66468/12338/13605/100502766/108907/11799/69885/19348/70385/110033/12534/72415/72119/20877/105988/229841/68617/18817/71819/108000/208628/70218/268697,cc,pairwise-ko-effect-gsea,233406/52276/240641/54141/219114/16319/56150/228421/51944/16551/26934/241035/20878/14841/18005/381293/75305/12316/66468/12338/13605/100502766/108907/11799/69885/19348/70385/110033/12534/72415/72119/20877/105988/229841/68617/18817/71819/108000/208628/70218/268697,Prc1/Cdca8/Kif20b/Spag5/Ska3/Incenp/Mad2l1/Kif18a/Knstrn/Kif11/Racgap1/Pkhd1/Aurka/Gsg2/Nek2/Kif14/Ankrd53/Aspm/Ska1/Capn6/Ect2/Kifc1/Nusap1/Birc5/Aunip/Kif20a/Spdl1/Kif22/Cdk1/Sgol1/Tpx2/Aurkb/Espl1/Cenpe/Mtcl1/Plk1/Kif23/Cenpf/Kntc1/Kif18b/Ccnb1
GO:0005876,spindle microtubule,47,-0.6886442656926366,-2.1777364455553267,0.003236245954692557,0.18845700824499412,0.17357882338354721,920.0,"tags=32%, list=6%, signal=30%",219114/228421/16551/20878/66468/12338/108907/11799/12534/72119/20877/18817/208628/70218,cc,pairwise-ko-effect-gsea,219114/228421/16551/20878/66468/12338/108907/11799/12534/72119/20877/18817/208628/70218,Ska3/Kif18a/Kif11/Aurka/Ska1/Capn6/Nusap1/Birc5/Cdk1/Tpx2/Aurkb/Plk1/Kntc1/Kif18b
GO:0072686,mitotic spindle,58,-0.6425654766202579,-2.1410775094325554,0.003105590062111801,0.18845700824499412,0.17357882338354721,1045.0,"tags=31%, list=6%, signal=29%",54141/56150/228421/51944/16551/26934/241035/20878/12316/13605/100502766/110033/12534/20877/105988/229841/71819,cc,pairwise-ko-effect-gsea,54141/56150/228421/51944/16551/26934/241035/20878/12316/13605/100502766/110033/12534/20877/105988/229841/71819,Spag5/Mad2l1/Kif18a/Knstrn/Kif11/Racgap1/Pkhd1/Aurka/Aspm/Ect2/Kifc1/Kif22/Cdk1/Aurkb/Espl1/Cenpe/Kif23
